,dailysamples,dailyconfirmed,dailyrecovered,dailydeceased,totalcritical,ventilatorpatients,totalsamples,totalconfirmed,totalhospital,totalrecovered,totaldeceased,totalhousesurvey,populationcovered,housescovered,flu,Date
1,153,15,0,2,,,2231,255,198,26,31,733,1930096,564875,56,04/12/2020
2,115,33,1,2,4,,2346,278,218,27,33,751,2152692,633618,201,04/13/2020
3,157,44,1,4,6,,2503,322,260,28,34,743,2355472,701736,87,04/14/2020
4,220,55,1,4,5,,2723,377,307,29,41,795,2576501,773284,110,04/15/2020
5,265,65,0,5,7,,2988,442,367,29,46,796,2798651,844189,141,04/16/2020
6,256,59,4,3,10,,3244,501,421,33,47,763,3092727,923870,89,04/17/2020
7,362,43,4,2,8,,3606,544,459,37,48,,,,,04/18/2020
8,181,42,18,0,15,,3787,586,482,55,49,,,,,04/19/2020
9,182,80,13,0,14,,3969,666,548,68,50,739,3737021,1083265,140,04/20/2020
10,340,42,19,2,15,,4309,708,569,87,52,750,3981330,1159283,131,04/21/2020
11,562,64,35,4,26,,4871,772,594,122,56,754,4063784,1234470,106,04/22/2020
12,667,104,8,4,36,,5538,876,686,130,60,474,4298516,1308879,95,04/23/2020
13,367,72,6,5,44,5,7230,1139,768,165,72,,,,,04/24/2020
14,445,78,11,3,49,3,7675,1217,821,176,75,972,5062457,1544375,212,04/25/2020
15,510,122,27,2,73,15,8185,1339,919,203,79,934,5323085,1627099,94,04/26/2020
16,673,93,27,2,70,14,8858,1432,980,230,81,1008,5612516,1715649,59,04/27/2020
17,340,86,44,7,70,14,9198,1518,1022,274,85,1044,5894519,1800448,44,04/28/2020
18,691,93,51,7,64,12,9889,1611,1057,325,92,1004,6163716,1883128,50,04/29/2020
19,413,107,53,3,67,11,10302,1718,1246,378,94,1073,6828243,1969369,55,04/30/2020
20,451,99,55,7,75,17,10753,1817,1152,433,101,,,,,05/01/2020
21,106,61,50,6,76,20,10859,1878,1150,483,107,,,,,05/02/2020
22,998,65,,4,76,20,16679,1943,1297,535,111,975,7400712,2140597,64,05/03/2020
23,890,86,52,7,79,18,17569,2029,1324,587,118,987,7701559,2229365,45,05/04/2020
24,1059,117,84,7,72,11,18628,2146,1350,671,125,946,7987304,2303714,51,05/05/2020
25,1642,99,61,12,76,12,20270,2245,1377,732,137,,,,,05/06/2020
26,1543,135,96,4,70,12,21813,2380,1414,826,140,,,,,05/07/2020
27,938,102,194,3,92,17,22751,2482,1318,1020,145,,,,,05/08/2020
28,1008,91,69,5,98,19,23759,2573,1335,1089,149,939,8893882,2565520,40,05/09/2020
29,989,164,120,7,107,25,24748,2737,1372,1209,156,936,9204682,2655763,40,05/10/2020
30,1205,87,168,7,115,32,25953,2824,1284,1377,163,942,9527043,2749285,45,05/11/2020
31,1414,163,109,6,116,34,27349,2987,1332,1486,169,944,9836484,2920804,51,05/12/2020
32,1652,106,144,5,132,33,29001,3093,1289,1630,174,934,10150240,3012049,42,05/13/2020
33,1205,202,68,11,149,41,30224,3295,1412,1698,185,822,10448921,3097646,26,05/14/2020
34,693,201,53,9,141,45,30917,3496,1551,1751,194,,,,,05/15/2020
35,1419,102,49,5,148,50,32336,3598,1599,1800,199,801,10728496,3177232,42,05/16/2020
36,1459,149,110,8,156,43,33795,3747,1630,1910,207,764,10978998,3248816,20,05/17/2020
37,1507,152,113,14,165,43,35302,3899,1656,2023,221,731,11222312,3318942,38,05/18/2020
38,1733,208,159,7,169,44,37035,4107,1698,2182,227,712,11460451,3387985,27,05/19/2020
39,1735,291,189,14,168,49,38770,4398,1786,2371,241,715,11690770,3456708,39,05/20/2020
40,1723,205,92,7,170,42,40493,4603,1892,2463,248,1106,11696949,3458737,37,05/21/2020
41,681,179,77,7,176,47,41174,4782,1977,2550,255,,,,,05/22/2020
42,689,399,175,10,179,44,41863,5181,2182,2735,264,669,11913350,3514618,21,05/23/2020
43,2044,246,140,9,176,44,43907,5427,2279,2875,273,726,12146109,3583074,11,05/24/2020
44,1360,106,184,11,171,50,45267,5533,2190,3059,284,734,12383074,3650537,24,05/25/2020
45,1315,318,205,10,150,49,46582,5851,2294,3264,293,551,12559845,3701113,10,05/26/2020
46,1179,242,186,10,166,45,47761,6093,2340,3450,303,571,12738419,3751405,40,05/27/2020
47,1200,108,194,8,170,43,48961,6201,2248,3644,309,564,12926337,3804203,9,05/28/2020
48,359,271,138,6,173,42,49320,6472,2376,3782,314,,,,,05/29/2020
49,1597,57,168,6,174,46,50917,6529,2259,3950,320,581,13089416,3846611,42,05/30/2020
50,1543,266,169,25,165,35,52460,6795,2331,4119,345,536,13248025,3890928,30,05/31/2020
51,1249,294,229,8,165,43,53709,7089,2389,4348,352,498,13374837,3925887,13,06/01/2020
52,1441,176,157,11,176,40,55150,7265,2399,4505,361,292,13456220,3949393,4,06/02/2020
53,1656,182,170,9,183,45,56806,7447,2402,4675,370,571,13622530,3997089,23,06/03/2020
54,1649,275,259,3,195,49,58455,7722,2413,4934,372,502,13778921,4042454,33,06/04/2020
55,235,159,85,6,209,50,58690,7881,2484,5019,378,,,,,06/05/2020
56,2108,181,166,13,204,43,60798,8062,2486,5185,391,610,13962412,4095309,24,06/06/2020
57,1697,143,119,12,189,37,62495,8205,2498,5304,403,588,14139347,4147438,39,06/07/2020
58,1949,304,271,3,214,43,64444,8509,2528,5575,406,576,14306079,4196226,37,06/08/2020
59,2043,268,207,7,216,53,66487,8777,2582,5782,413,640,14497820,4251633,36,06/09/2020
60,2249,305,142,12,222,49,68736,9082,2733,5924,425,656,14699892,4310666,36,06/10/2020
61,2476,254,163,14,208,47,71212,9336,2810,6087,439,642,14885765,4365798,16,06/11/2020
62,1345,320,123,9,203,45,71425,9656,2998,6210,448,,,,,06/12/2020
63,2234,234,236,10,230,40,73659,9890,2986,6446,458,647,15080647,4423555,33,06/13/2020
64,2547,293,150,11,213,41,76206,10183,3118,6596,469,624,15262567,4475060,35,06/14/2020
65,2841,460,117,12,232,44,79047,10643,3449,6713,481,589,15441369,4527088,20,06/15/2020
66,2464,472,193,6,245,49,81511,11115,3772,6906,487,428,15554441,4561295,13,06/16/2020
67,2676,350,157,6,265,53,84187,11465,3909,7063,493,288,15637216,4588523,25,06/17/2020
68,2684,389,183,11,273,52,86871,11854,4086,7264,504,229,15707144,4609215,29,06/18/2020
69,1261,620,171,6,290,60,87179,12474,4529,7435,510,,,,,06/19/2020
70,3227,212,255,8,280,55,90406,12686,4496,7672,518,199,15758200,4625113,17,06/20/2020
71,3402,467,273,10,277,57,93808,13153,4680,7945,528,213,15807381,4639230,20,06/21/2020
72,3416,501,155,17,277,56,97224,13654,5009,8100,545,209,15857567,4653418,24,06/22/2020
73,3453,531,202,13,316,63,100677,14185,5325,8302,558,206,15904070,4666869,15,06/23/2020
74,3378,595,331,14,330,67,104055,14780,5575,8633,572,181,15946074,4679354,28,06/24/2020
75,3255,822,486,19,308,65,107310,15602,5892,9119,591,194,15988158,4691526,9,06/25/2020
76,1543,523,328,22,324,54,108003,16125,6065,9447,613,,,,,06/26/2020
77,4038,617,482,5,333,61,112041,16742,6195,9929,618,166,16016358,4700055,12,06/27/2020
78,3949,486,522,25,350,59,115990,17228,6134,10451,643,156,16046748,4708089,,06/28/2020
79,4068,877,589,19,347,55,120058,18105,6403,11040,662,226,16081138,4718642,,06/29/2020
80,4140,937,631,14,344,56,124198,19402,6695,11671,676,278,16118595,4730159,18,06/30/2020
81,4250,807,619,9,389,59,128448,19849,6874,12290,685,258,16156299,4742458,8,07/01/2020
82,3757,819,399,18,385,56,132205,20668,7276,12689,703,265,16195728,4755129,26,07/02/2020
83,2704,852,420,12,410,70,132816,21520,7696,13109,715,,,,,07/03/2020
84,4548,861,630,15,368,64,137364,22381,7912,13739,730,265,16195728,4755129,,07/04/2020